Label,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18
MCI,0.139484286,0.177222851,0.048610073,0.058748235,-0.140003694,0.006162796,0.068062224,0.030524866,0.025179432,0.007309111,0.050079175,-0.021099235,0.028296852,-0.147381901,0.059676533,0.012757635,-0.002221557,0.13095833
MCI,0.099822915,0.239468652,0.060225385,0.02814136,-0.088498411,0.066485747,0.110861312,0.018803474,0.012554117,0.028309303,0.069415962,0.06087112,0.021537541,-0.133628567,0.021423,0.042867863,0.011325934,0.148992853
MCI,0.129667382,0.219500497,0.049737279,0.0407722,-0.122925926,0.02268076,0.065060205,0.012858228,0.023468422,0.050988118,0.083159387,0.038299177,-0.033143851,-0.093285617,0.079434763,-0.012019721,0.004448894,0.176793712
MCI,0.092021834,0.197792305,0.069962099,0.069598487,-0.139405457,0.019251823,0.048966263,0.098659224,0.024478648,0.007708527,0.044675466,0.03573246,0.033908503,-0.121869923,0.068083241,0.034892959,0.062612185,0.173070109
MCI,0.084623129,0.201281228,0.082643849,0.041746063,-0.149783963,0.074718219,0.089296057,0.076015188,0.033232113,0.015296366,0.052134022,0.098847898,0.017689144,-0.092734074,0.049359684,0.041192488,0.028549077,0.148401225
MCI,0.089522248,0.223566162,0.079018431,0.065391395,-0.109350112,0.054212183,0.079421205,0.065540782,0.003117375,0.039000002,0.024287047,0.022330928,-0.00599591,-0.134732586,0.067287459,0.026790864,0.029095019,0.176199246
MCI,0.050768758,0.24334357,0.126584915,0.084311523,-0.111316779,0.102205557,0.084581184,0.137916664,0.016488384,0.052067191,0.042963936,0.095009796,-0.001475969,-0.101659542,0.051426065,0.030040492,0.043824433,0.147826918
MCI,0.086072089,0.21305617,0.091130538,0.02557735,-0.123483021,0.049293709,0.100106837,0.062615833,0.000360776,0.040754966,0.033805179,0.024882857,0.033517816,-0.11567149,0.049980523,0.031494574,0.010462333,0.13538774
MCI,0.064448257,0.241672143,0.132281587,0.079705935,-0.114741752,0.082906851,0.089909585,0.121251811,0.012459038,0.038748344,0.045724377,0.072892031,0.033307458,-0.094601423,0.025151454,0.055769337,0.031201484,0.128417502
MCI,0.1005201,0.233471022,0.126566644,0.057377681,-0.132687658,0.059617577,0.070399642,0.094562825,-0.0000857,0.043543067,0.042617164,0.051864619,0.015981541,-0.087787089,0.060162971,0.031407352,0.015044676,0.108557012
